replica_id,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,ra_deg,dec_deg
642,-576529407.585051,461412197.943096,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
643,-576529407.585058,461412197.943101,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
644,-576529407.585055,461412197.943099,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
645,-576529407.585057,461412197.943100,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
646,-576529407.585057,461412197.943100,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
647,-576529407.585059,461412197.943101,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
648,-576529407.585057,461412197.943100,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
649,-576529407.585059,461412197.943101,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
650,-576529407.585050,461412197.943096,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
651,-576529407.585059,461412197.943101,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
652,-576529407.585052,461412197.943097,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
653,-576529407.585053,461412197.943097,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
654,-576529407.585054,461412197.943098,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
655,-576529407.585050,461412197.943095,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
656,-576529407.585056,461412197.943099,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
657,-576529407.585052,461412197.943097,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
658,-576529407.585046,461412197.943093,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
659,-576529407.585053,461412197.943097,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
660,-576529407.585055,461412197.943099,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
661,-576529407.585059,461412197.943101,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
662,-576529407.585048,461412197.943094,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
663,-576529407.585052,461412197.943097,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
664,-576529407.585048,461412197.943094,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
665,-576529407.585050,461412197.943095,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
666,-576529407.585057,461412197.943100,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
667,-576529407.585053,461412197.943097,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
668,-576529407.585060,461412197.943102,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
669,-576529407.585061,461412197.943103,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
670,-576529407.585050,461412197.943095,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
671,-576529407.585057,461412197.943100,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
672,-576529407.585046,461412197.943093,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
673,-576529407.585055,461412197.943099,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
674,-576529407.585052,461412197.943097,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
675,-576529407.585052,461412197.943097,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
676,-576529407.585052,461412197.943097,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
677,-576529407.585056,461412197.943099,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
678,-576529407.585054,461412197.943098,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
679,-576529407.585050,461412197.943095,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
680,-576529407.585058,461412197.943101,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
681,-576529407.585054,461412197.943098,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
682,-576529407.585056,461412197.943099,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
683,-576529407.585057,461412197.943100,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
684,-576529407.585055,461412197.943099,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
685,-576529407.585047,461412197.943093,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
686,-576529407.585056,461412197.943099,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
687,-576529407.585056,461412197.943099,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
688,-576529407.585050,461412197.943095,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
689,-576529407.585050,461412197.943095,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
690,-576529407.585054,461412197.943098,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
691,-576529407.585058,461412197.943100,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
692,-576529407.585057,461412197.943100,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
693,-576529407.585053,461412197.943097,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
694,-576529407.585050,461412197.943096,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
695,-576529407.585050,461412197.943095,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
696,-576529407.585054,461412197.943098,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
697,-576529407.585054,461412197.943098,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
698,-576529407.585058,461412197.943101,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
699,-576529407.585057,461412197.943100,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
700,-576529407.585052,461412197.943096,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
701,-576529407.585053,461412197.943097,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
702,-576529407.585053,461412197.943098,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
703,-576529407.585060,461412197.943102,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
704,-576529407.585047,461412197.943093,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
705,-576529407.585056,461412197.943099,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
706,-576529407.585054,461412197.943098,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
707,-576529407.585046,461412197.943093,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
708,-576529407.585051,461412197.943096,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
709,-576529407.585060,461412197.943102,378324639.315429,13.907903,-54.401208,-31.346580,131.130432,30.903548
710,-576529407.585048,461412197.943094,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
711,-576529407.585051,461412197.943096,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
712,-576529407.585055,461412197.943099,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
713,-576529407.585048,461412197.943094,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
714,-576529407.585055,461412197.943099,378324639.315428,13.907903,-54.401208,-31.346580,131.130432,30.903548
